Time,Freq_Dev_Area1,Freq_Dev_Area2,Mechanical_Power_Area1,Mechanical_Power_Area2,Rotor_Angle_Area1,Rotor_Angle_Area2,Tie_Line_Power,UPFC_Series_Voltage,UPFC_Shunt_Voltage,SVC_Susceptance,SSSC_Series_Voltage,STATCOM_Current,AGC_Control_Area1,AGC_Control_Area2,UPFC_Series_Control,UPFC_Shunt_Control,SVC_Control,SSSC_Control,STATCOM_Control
20.73,0.19905398061363583,-0.2210674726704515,34.83338928670766,-27.683354062237274,-0.12485694062989,0.1094686071407138,-0.017937332808469944,-0.5396522513256385,-0.3375056557195791,0.0028536892269982895,-0.9999999999999998,5.0,-153.43123653105428,175.09817211215207,-0.6561509726104389,-0.41981921593424476,0.0,-3.0,5.0
20.740000000000002,0.23364606404866106,-0.25544538600750444,30.164267069118246,-23.587422478809884,-0.11235001016661793,0.09557852817893074,-0.016687323139397307,-0.6455644447159894,-0.41325853760419484,0.002140266920248717,1.0000000000000002,5.0,-194.6416419804903,214.53546138067904,-0.7514766381063404,-0.48901141948881055,0.0,3.0,5.0
20.75,0.2635401015896798,-0.2846631472006826,24.82706263075416,-18.964307036263534,-0.09766959499950906,0.07952842121743904,-0.014167339181307194,-0.7385552916034217,-0.48080052572060394,0.0016052001901865377,-0.9999999999999998,5.0,-232.02303356811288,249.71237789785096,-0.831546138490854,-0.548342513837013,0.0,-3.0,5.0
20.76,0.2880704994783435,-0.30806599412938784,18.929935163481495,-13.90804412810671,-0.08111088205790014,0.061642508177570755,-0.012418186767003141,-0.8165916532733395,-0.5386501225440485,0.039929900433504986,1.0000000000000002,5.0,-264.75850870108553,279.8568570979351,-0.8946280149432573,-0.596499719367493,0.15490400116346031,3.0,5.0
20.77,0.30668239642900935,-0.32511999777958445,12.593630707015823,-8.522500201801694,-0.06301087876035802,0.042286150898016336,-0.009485834530114343,-0.8778974940643238,-0.5855137180598466,0.048542358832106336,-0.9999999999999998,5.0,-292.12387767023523,304.29553554412394,-0.939203334855308,-0.6323773135756449,0.07437973402791037,-3.0,5.0
20.78,0.3189401670534121,-0.33541922032749716,5.949020917716021,-2.9192056417332903,-0.04374145548822425,0.021858258966826888,-0.007420408975741831,-0.9210828649732414,-0.6203275615575617,0.04971932665582003,1.0000000000000002,5.0,-313.50321082939405,322.47325343782916,-0.9642682358821592,-0.6551414050552768,0.05325023012696112,3.0,5.0
20.79,0.32454145624646114,-0.33870015626801503,-0.8655959157203954,2.784910082476265,-0.023701853773230235,0.0007832477977532636,-0.004275233179489116,-0.945086319722342,-0.6422685272441399,0.04903931678447934,-0.9999999999999998,5.0,-328.40301741303654,333.96103028560003,-0.9690897744714427,-0.664209492930718,0.04699928717045726,-3.0,5.0
20.8,0.32332050239892307,-0.33484332503059255,-7.707363050195816,8.469991511293102,-0.0033103126786459235,-0.020497910656272957,-0.0021056527110075622,-0.949289291494434,-0.6507865088051179,0.04789930927516386,1.0000000000000002,5.0,-336.4631235145622,338.4705933111982,-0.953492263266526,-0.659304490366096,0.044479286747217406,3.0,5.0
20.81,0.3152565885995191,-0.3238817689667055,-14.43185638121802,14.015731017921304,0.017004513623182435,-0.041536737256666734,0.001032050856988865,-0.9334425999529636,-0.6456046287960282,0.0466491546692752,-0.9999999999999998,5.0,-337.46561955332754,335.8568687084957,-0.9175959084114932,-0.6404227487869385,0.042898690851609245,-3.0,5.0
20.82,0.3004714948965645,-0.3059964481406451,-20.89612291726627,19.30394776754117,0.03681266927798302,-0.06188682897701611,0.003081912305771826,-0.8977639439508388,-0.6267403142997907,0.04537648373043536,1.0000000000000002,5.0,-331.34005141164005,326.1266276916459,-0.862085287948714,-0.6078759998035532,0.041558470913915846,3.0,5.0
