time,pi_freq_area1,pi_freq_area2,anfis_freq_area1,anfis_freq_area2,pi_control_area1,pi_control_area2,anfis_control_area1,anfis_control_area2,load_disturbance,wind_power,solar_power,tie_line_pi,tie_line_anfis
0.3,0.011654063479950015,0.01085456719177548,0.010354510740447031,0.009237598266728368,-0.031340195931853804,-0.026853288080612603,-0.2391914471530969,-0.23510206018599872,-0.047623859806281754,0.40049009554347975,0.30178496300317154,2.2673841929990214e-05,2.7879357943614502e-05
0.31,0.012034663644540158,0.011211868393523124,0.010646042944531444,0.009484384636616711,-0.03243611230706364,-0.02779841139696094,-0.24017693019203368,-0.23605036793129408,-0.04668781322812573,0.40212824512994855,0.3021988936895319,2.4272834506339283e-05,3.011318289105183e-05
0.32,0.012421737850232293,0.011575967231522816,0.01093402665185789,0.009725489163898409,-0.03355285867549677,-0.028763174363906983,-0.24111917083104606,-0.23695174906101707,-0.032895627969237,0.39954651242448236,0.3012001932232458,2.5918425008373352e-05,3.24364995068813e-05
0.33,0.012795478517383753,0.011925615521441323,0.011207887909455705,0.009951205623270879,-0.03464075608558402,-0.029698547201455403,-0.2419872780606313,-0.23777372638244407,-0.04687549384829544,0.40266611163879046,0.30279830003431635,2.7609966245792307e-05,3.485357448280026e-05
0.34,0.013174600960288734,0.012280327803793544,0.011487298475658526,0.010182243729764881,-0.03574665740436994,-0.03064946905670724,-0.24284575638129652,-0.23859374496404573,0.04433389078206712,0.4012881316577166,0.30205062646136455,2.9349692237677167e-05,3.736693905516991e-05
0.35000000000000003,0.013531445205736781,0.012608222123297711,0.011715239489510561,0.010350022057512398,-0.0368011453604589,-0.0315423164349231,-0.24352629444388954,-0.2391760196406169,0.03622577418089435,0.4006386638548036,0.30289944405106217,3.113823855066755e-05,3.99770485469572e-05
0.36,0.013893475999937161,0.012944718042246154,0.01194221518596836,0.010518761038559924,-0.037872944057959095,-0.032458648946969225,-0.244186723996353,-0.2397506459234386,-0.011467841745588443,0.40243328686692303,0.3040758603790857,3.298468471554569e-05,4.270748341095352e-05
0.37,0.014254243541662008,0.013279109554669015,0.012190554151777888,0.01071372942569475,-0.03894591383477116,-0.03337381963064316,-0.24489010105590736,-0.2404011456772305,0.024893062534462773,0.40244888860261113,0.30172803110061835,3.4882200630927706e-05,4.555439170577039e-05
0.38,0.014599641597314174,0.013591585561888601,0.012416521948938173,0.010878080063236244,-0.039984604673069336,-0.034242021888428995,-0.24551309111446074,-0.2409385061373978,-0.01758355362453135,0.39931410485014757,0.30011565917490296,3.683246860491369e-05,4.850804115793667e-05
0.39,0.014958689135006482,0.013923283807174898,0.012656485208991096,0.011062134605760915,-0.04106172778692019,-0.03515808397446639,-0.24615733935234016,-0.24152859575263724,0.03765177303727594,0.400351386130388,0.30148987312439074,3.8848580675764835e-05,5.158492492934053e-05
0.4,0.015302433098057783,0.014236533272548632,0.012865834679298218,0.01120865087254349,-0.04210471689172513,-0.036035159610824014,-0.24670515225015174,-0.24198965930018915,0.05633936722086501,0.40096537762088097,0.2998632902114928,4.0919391331428e-05,5.477362613580089e-05
0.41000000000000003,0.01563775242425114,0.0145367143610424,0.013062524992796696,0.011336854216961548,-0.04313066823629954,-0.03688547997233115,-0.24720800835379478,-0.24238688924905286,-0.04465852593406615,0.40231019541827645,0.29941727331282525,4.305119098244631e-05,5.808799374931035e-05
0.42,0.015992409653259782,0.014859099339388915,0.013307227150123615,0.011523152974589664,-0.04420922022466026,-0.03779041551526141,-0.24781795775840373,-0.24295396925547352,0.024260673112438784,0.3978101547892294,0.30081353873031763,4.5253267108863784e-05,6.153933530098065e-05
0.43,0.016328942599050617,0.015166474746060603,0.013509187791039611,0.011663717226647878,-0.045246499900325955,-0.03866421017281296,-0.24830857418959212,-0.24337400151529437,-0.03097278507380257,0.4002422052988678,0.30167552992505214,4.7519887736605516e-05,6.510748365204854e-05
0.44,0.01667600150792408,0.015485319342245627,0.013737520665595696,0.01183560464385656,-0.04631425919060471,-0.03956789125680322,-0.2488496299649158,-0.24387863475514032,0.05364740573432135,0.40279037589535865,0.29969921160377533,4.984482344258555e-05,6.879842478083201e-05
0.45,0.017012240618571116,0.015785260889084326,0.01392247714630573,0.011947937412786686,-0.04735900385464515,-0.04043139468431215,-0.24927751341402365,-0.24420315534663825,-0.0226248231473175,0.4021502586888769,0.3021494002309049,5.2226187773942457e-05,7.260225682431028e-05
0.46,0.017371085823430724,0.01611760807589153,0.014141422507692566,0.01210694925130116,-0.04846456989667534,-0.04137308690280353,-0.2497722566875525,-0.2446555158942199,-0.049377235669759656,0.4011379244322901,0.3008645245166329,5.4680147232916036e-05,7.655133629134837e-05
0.47000000000000003,0.017727924975536016,0.01644739160732419,0.014369281696327929,0.01227709188199636,-0.049569402876645,-0.04231251033277921,-0.2502738666312157,-0.2451305787941518,-0.012651782056907878,0.4035545506404164,0.3041887434640808,5.7187102727994425e-05,8.062028280413118e-05
0.48,0.018072892666665463,0.01676375618371884,0.014577808545918563,0.012424532324169613,-0.0506486968164686,-0.043224550176507816,-0.2507213012253421,-0.24553488282991434,-0.023558041346518583,0.4004069313765258,0.30201355299414095,5.9748169464418075e-05,8.480466243279432e-05
0.49,0.018417941121454045,0.017081724438468966,0.014785336914933004,0.012572268884690641,-0.05173233324689751,-0.044143776131256265,-0.2511557962419749,-0.24593324333677535,0.00016807666911860565,0.4010104025974439,0.3031303545018557,6.236644243031132e-05,8.911121487629222e-05
0.5,0.018758114633072056,0.01739452866693516,0.014978373948180574,0.012702860987039306,-0.052807864401539395,-0.0450545656720648,-0.2515504680685914,-0.24627982601380272,0.016447720434606766,0.40290264837127987,0.3001120243909741,6.503887579628148e-05,9.353735093677695e-05
0.51,0.01909544813121914,0.017697933819837634,0.015162013004014175,0.012815895902528164,-0.05388034352448173,-0.0459470747957587,-0.25191759761216853,-0.24657566468793224,-0.008563875202709162,0.40078954742047046,0.3034904519078038,6.776604772855528e-05,9.808837685905949e-05
0.52,0.019419508340872003,0.017991908009981995,0.015352974025660123,0.01294528299783296,-0.054923528148704354,-0.04682112642120053,-0.2522909057764965,-0.24690963529264343,0.02862187844692358,0.4031993853523405,0.3028985709469026,7.05610763513183e-05,0.00010278061106203152
0.53,0.019755495002060284,0.01829733353357675,0.015524747912793947,0.013047266096381691,-0.05600056074169978,-0.04772487579433782,-0.25261946183374284,-0.24716940236589402,0.015636575943955136,0.401593855070366,0.2983957621927619,7.341627701309831e-05,0.00010759599311768584
0.54,0.02009226627278744,0.018600417959704865,0.015698487813523305,0.013148421734542465,-0.05708359611379112,-0.04862657457198923,-0.25294491558858573,-0.24742407441300449,-0.024536738886998886,0.39967633372290046,0.30273408958976983,7.633259995006538e-05,0.00011255095675051036
0.55,0.020420617582513956,0.018901102319765998,0.015887545397098912,0.013276886425714377,-0.05814952179909758,-0.04952606072564726,-0.25329135020057547,-0.2477432595025114,-0.01392686970888617,0.400736727249728,0.30061096161132644,7.931629657623053e-05,0.00011765108890847203
0.56,0.020752426607828965,0.019202431772848732,0.01606956253070344,0.013392908195077885,-0.05922807348167906,-0.05043034521723889,-0.25361741529444204,-0.24802749749817404,0.01553606084103203,0.40053102258789397,0.3005611893422104,8.235532710172645e-05,0.0001228724068512411
0.5700000000000001,0.021083892528979273,0.019503833573288203,0.016233912944734755,0.013487380798115541,-0.06030974499490257,-0.051338111527555845,-0.25390564019849204,-0.2482561485299722,-0.0076019645379897215,0.40282192564998864,0.3031146947103553,8.545531677168691e-05,0.0001282257155224922
0.58,0.021422648138827372,0.01981498387359076,0.016409469028466094,0.013596529844316259,-0.061413705797188745,-0.052271722040861224,-0.25420712828077724,-0.24851723073476434,-0.00534529827653634,0.40138727316796835,0.3028036962631348,8.861543468306906e-05,0.00013371877981573064
0.59,0.021742776037748997,0.020103158434389895,0.016581298119070872,0.013701361515849476,-0.06247493885694579,-0.05315565827347752,-0.2544959238360699,-0.24876489872469842,0.0049126821594163966,0.401771384822239,0.30170620698983547,9.183076321354229e-05,0.0001393446581840303
0.6,0.022066055393689738,0.020396988286430294,0.01674402651367135,0.013796563590169505,-0.06354792991152193,-0.05405583380432118,-0.25476461604101797,-0.24898722226499304,0.0792695406190762,0.40150115408641274,0.29957772828908197,9.510999842026049e-05,0.00014510453139047309
0.61,0.02237229847949312,0.020665660366638902,0.016867218457383655,0.013838511710062963,-0.0645820052077843,-0.054901101852834,-0.254968597814602,-0.2490844053711798,-0.02684472220415457,0.4004334274968341,0.29952541725445975,9.844813263477938e-05,0.00015099945723747677
0.62,0.022699820378124864,0.0209625192367795,0.017040018196322858,0.013944087780171581,-0.06567320779890115,-0.05581446496576195,-0.25525670843451764,-0.24932691002615148,-0.02349463612975796,0.3999968991077034,0.3009096783453205,0.00010186140886048782,0.00015705687073211817
0.63,0.023016046657524606,0.02124785491300936,0.017208353346180275,0.014046707521678595,-0.06673996605729081,-0.05670446342513373,-0.25553963885236564,-0.24955978294022127,0.039706541455002964,0.4020899187258512,0.30288737936617255,0.00010533601114317854,0.00016324873156442073
0.64,0.023309013112395586,0.02150429244540174,0.017344881123842016,0.014109770027210224,-0.06775209035181701,-0.05753081696653563,-0.2557707735357497,-0.24970151222328427,-0.013861148432010632,0.40354187076532155,0.30062084898138736,0.00010887239463220903,0.0001695720232134241
